# ra dec
ra	dec	dist	vmag	absmag
101.287215	-16.716116	2.6371	-1.44	1.454
95.987925	-52.69566	94.7867	-0.62	-5.504
213.91545	19.18241	11.2575	-0.05	-0.307
219.911475	-60.833976	1.3248	-0.01	4.379
279.2346	38.783692	7.6787	0.03	0.604
79.17225	45.997991	13.1234	0.08	-0.51
78.63447	-8.20164	264.5503	0.18	-6.933
114.825495	5.224993	3.5142	0.4	2.671
24.42834	-57.236757	42.7533	0.45	-2.705
88.792935	7.407063	152.6718	0.45	-5.469
210.955935	-60.373039	120.1923	0.61	-4.789
297.69582	8.868322	5.1295	0.76	2.21
186.649665	-63.099092	98.7167	0.77	-4.202
68.980155	16.509301	20.4332	0.87	-0.682
79.16889	46.000842	12.9383	0.96	0.401
201.298245	-11.161322	76.5697	0.98	-3.44
247.35192	-26.432002	169.7793	1.06	-5.089
116.329155	28.026199	10.3584	1.16	1.084
344.41257	-29.622236	7.7036	1.17	1.737
191.930385	-59.688764	85.3971	1.25	-3.407
310.35798	45.280338	432.9004	1.25	-6.932
219.90519	-60.8383	1.3248	1.35	5.739
152.09298	11.967207	24.3132	1.36	-0.569
104.656455	-28.972084	124.2236	1.5	-3.971
113.64951	31.888276	15.5958	1.58	0.615
187.791435	-57.113212	27.1518	1.59	-0.579
263.402175	-37.103821	175.1313	1.62	-4.597
81.282765	6.349702	77.3994	1.64	-2.804
81.57297	28.60745	41.0509	1.65	-1.417
138.300615	-69.717208	34.6981	1.67	-1.032
84.053385	-1.20192	606.0606	1.69	-7.223
332.058135	-46.960975	30.9693	1.73	-0.725
85.189695	-1.942572	225.7336	1.74	-5.028
122.38314	-47.336588	342.4658	1.75	-5.923
193.50708	55.959821	25.31	1.76	-0.256
51.08067	49.86118	155.2795	1.79	-4.166
276.04302	-34.384616	43.9367	1.79	-1.424
165.932325	61.751033	37.679	1.81	-1.07
107.097855	-26.3932	492.6108	1.83	-6.633
206.88531	49.313265	31.8674	1.85	-0.667
125.62854	-59.509483	185.5288	1.86	-4.482
264.3297	-42.997824	92.081	1.86	-2.961
89.882235	44.947433	24.8694	1.9	-0.078
252.166155	-69.027715	119.7605	1.91	-3.482
99.42792	16.399252	33.5121	1.93	-0.696
131.175885	-54.708821	24.6975	1.93	-0.033
306.411885	-56.73509	54.8246	1.94	-1.755
37.94625	89.264109	132.626	1.97	-3.643
95.674935	-17.955918	151.0574	1.98	-3.916
141.89685	-8.658603	55.2792	1.99	-1.723
31.793325	23.462423	20.1776	2.01	0.486
154.993095	19.841489	39.8883	2.01	-0.994
10.89735	-17.986605	29.5334	2.04	-0.312
283.81635	-26.296722	69.8324	2.05	-2.17
211.670925	-36.369954	18.0343	2.06	0.78
2.096865	29.090432	29.7442	2.07	-0.297
17.43291	35.620558	60.5327	2.07	-1.84
86.939115	-9.669605	198.4127	2.07	-4.418
222.676575	74.155505	40.1445	2.07	-0.948
340.666725	-46.884577	54.2594	2.07	-1.602
263.733615	12.560035	14.8965	2.08	1.215
47.04222	40.955648	27.571	2.09	-0.112
30.97476	42.329725	120.4819	2.1	-3.305
177.264945	14.57206	10.9999	2.14	1.933
14.177145	60.71674	168.3502	2.15	-3.981
190.379565	-48.959888	39.9042	2.2	-0.805
120.896055	-40.003148	332.2259	2.21	-5.397
139.27257	-59.275229	234.7418	2.21	-4.643
233.67192	26.714693	23.0097	2.22	0.41
136.99902	-43.432589	166.9449	2.23	-3.883
200.981205	54.925362	26.3089	2.23	0.129
305.557095	40.256679	561.7978	2.23	-6.518
10.12674	56.537331	69.979	2.24	-1.985
269.151555	51.488895	47.3037	2.24	-1.134
83.001675	-0.299092	212.3142	2.25	-4.385
2.293305	59.14978	16.7842	2.28	1.155
204.97194	-53.466394	131.0616	2.29	-3.297
240.083355	-22.62171	150.6024	2.29	-3.599
252.5412	-34.293232	19.5351	2.29	0.836
220.482345	-47.3882	142.4501	2.3	-3.468
218.87679	-42.157824	93.7207	2.33	-2.529
165.460155	56.382427	24.4499	2.34	0.399
221.24676	27.074222	62.1118	2.35	-1.616
326.046495	9.875011	211.4165	2.38	-4.246
265.62198	-39.029983	148.1481	2.39	-3.463
6.57084	-42.305981	25.974	2.4	0.327
178.45752	53.69476	25.5037	2.41	0.377
257.59452	-15.72491	27.0929	2.43	0.266
345.943515	28.082789	60.0962	2.44	-1.454
111.02376	-29.303104	609.7561	2.45	-6.476
319.64445	62.585573	15.0376	2.45	1.564
140.52843	-55.010668	175.4386	2.47	-3.751
311.55267	33.970256	22.2916	2.48	0.739
346.19022	15.205264	40.8831	2.49	-0.568
45.56988	4.089734	76.3942	2.54	-1.875
249.28974	-10.56709	112.2334	2.54	-2.711
208.885005	-47.288375	117.096	2.55	-2.793
168.52707	20.523717	17.9147	2.56	1.294
241.3593	-19.805453	123.9157	2.56	-2.906
83.18256	-17.822289	680.2721	2.58	-6.583
182.08965	-50.722425	127.2265	2.58	-2.943
183.951555	-17.541929	47.1032	2.58	-0.785
285.65298	-29.880105	27.0416	2.6	0.44
229.251735	-9.382917	56.7537	2.61	-1.16
