acat	acom	zcat	zcom	dasinz	dz	dtotal	dtotdsig	star	sf
218.3479	218.3898	43.0038	43.0314	0.0286	0.0276	0.0397	1.16	1	43.14
228.4713	228.4882	20.5758	20.6051	0.0059	0.0293	0.0299	0.87	2	20.64
6.6499	6.6114	24.6017	24.5633	-0.0160	-0.0384	0.0416	1.21	3	24.25
156.6023	156.5902	30.3865	30.3896	-0.0061	0.0031	0.0069	0.20	4	30.81
331.8429	331.8869	56.2951	56.3025	0.0366	0.0074	0.0374	1.09	5	55.87
339.4721	339.4079	22.2525	22.1961	-0.0243	-0.0564	0.0614	1.79	6	21.78
354.8530	354.8359	31.9507	31.9098	-0.0091	-0.0409	0.0419	1.22	7	31.54
0.7103	0.6990	36.5608	36.5488	-0.0067	-0.0120	0.0138	0.40	8	36.21
14.1552	14.1477	17.6881	17.6611	-0.0023	-0.0270	0.0271	0.79	9	17.39
168.6188	168.6707	51.9086	51.7779	0.0409	-0.1307	0.1370	4.00	10	52.17
74.9682	74.8842	17.9109	17.9476	-0.0258	0.0367	0.0449	1.31	11	18.11
68.3090	68.2441	20.4715	20.4939	-0.0227	0.0224	0.0319	0.93	12	20.61
215.2874	215.3244	51.0527	51.0842	0.0288	0.0315	0.0427	1.25	13	51.22
354.4469	354.4712	47.2954	47.2990	0.0179	0.0036	0.0182	0.53	14	46.93
62.1088	62.0445	15.2276	15.2489	-0.0169	0.0213	0.0272	0.79	15	15.32
42.3697	42.3165	20.4584	20.4868	-0.0186	0.0284	0.0339	0.99	16	20.41
94.0914	94.0374	29.2203	29.2573	-0.0264	0.0370	0.0454	1.32	17	29.54
102.7433	102.7158	40.0304	40.0329	-0.0177	0.0025	0.0179	0.52	18	40.36
349.2608	349.2504	37.4397	37.4073	-0.0063	-0.0324	0.0330	0.96	19	37.02
327.2286	327.2580	58.0195	58.0173	0.0250	-0.0022	0.0251	0.73	20	57.59
345.4636	345.4453	33.7277	33.6805	-0.0101	-0.0472	0.0483	1.41	21	33.28
71.2329	70.9676	4.4047	4.4229	-0.0204	0.0182	0.0273	0.80	22	4.58
26.5391	26.5247	23.4724	23.4869	-0.0057	0.0145	0.0156	0.45	23	23.30
27.9699	27.9498	33.3547	33.3485	-0.0111	-0.0062	0.0127	0.37	24	33.17
84.2532	84.2467	41.1138	41.1447	-0.0043	0.0309	0.0312	0.91	25	41.37
83.2292	83.1458	19.0079	19.0498	-0.0272	0.0419	0.0499	1.46	26	19.27
63.4802	63.4562	37.8798	37.8902	-0.0147	0.0104	0.0180	0.53	27	37.97
88.9867	88.9835	40.7503	40.7664	-0.0021	0.0161	0.0162	0.47	28	41.02
322.6752	322.6549	38.2348	38.1861	-0.0126	-0.0487	0.0503	1.47	29	37.75
340.5990	340.6228	47.1155	47.1047	0.0174	-0.0108	0.0205	0.60	30	46.69
340.7944	340.7994	42.8694	42.8794	0.0034	0.0100	0.0105	0.31	31	42.47
194.9145	194.9495	29.7875	29.8175	0.0174	0.0300	0.0347	1.01	32	30.09
175.6764	175.7116	32.2200	32.2212	0.0188	0.0012	0.0188	0.55	33	32.59
27.7624	27.7580	17.3503	17.3597	-0.0013	0.0094	0.0095	0.28	34	17.18
75.3180	75.0886	8.5675	8.6078	-0.0342	0.0403	0.0528	1.54	35	8.78
70.9020	70.8017	19.6059	19.6482	-0.0337	0.0423	0.0541	1.58	36	19.79
68.9843	68.9292	28.8705	28.8958	-0.0266	0.0253	0.0367	1.07	37	29.02
314.6200	314.5767	55.9462	55.9402	-0.0359	-0.0060	0.0364	1.06	38	55.51
355.6571	355.6368	30.0947	30.0748	-0.0102	-0.0199	0.0223	0.65	39	29.71
153.6485	153.6599	34.3857	34.3660	0.0064	-0.0197	0.0207	0.60	40	34.79
60.1428	60.1229	35.8201	35.8456	-0.0116	0.0255	0.0280	0.82	41	35.90
32.8937	32.9910	77.0532	77.0274	0.0949	-0.0258	0.0983	2.87	42	76.88
80.4675	80.4625	45.9992	46.0282	-0.0036	0.0290	0.0293	0.85	43	46.23
275.5185	275.4445	53.8832	53.9256	-0.0598	0.0424	0.0733	2.14	44	53.63
237.9156	237.8960	62.2822	62.3686	-0.0174	0.0864	0.0881	2.57	45	62.33
265.2946	265.2237	34.4446	34.4562	-0.0401	0.0116	0.0417	1.22	46	34.23
263.2958	263.2300	28.8645	28.8911	-0.0318	0.0266	0.0414	1.21	47	28.67
340.0822	340.0417	10.9524	10.9181	-0.0077	-0.0343	0.0352	1.03	48	10.50
19.9529	19.9700	18.9936	18.9694	0.0056	-0.0242	0.0248	0.72	49	18.74
60.4553	60.3583	23.2228	23.2441	-0.0383	0.0213	0.0438	1.28	50	23.30
251.4260	251.3645	27.0477	27.0476	-0.0279	-0.0001	0.0279	0.82	51	26.91
203.8925	203.9463	50.6064	50.5914	0.0416	-0.0150	0.0442	1.29	52	50.80
325.8147	325.7402	22.2126	22.1534	-0.0282	-0.0592	0.0655	1.91	53	21.72
344.9374	344.9144	36.0989	36.0742	-0.0135	-0.0247	0.0282	0.82	54	35.67
190.5000	190.5646	29.8144	29.8367	0.0321	0.0223	0.0391	1.14	55	30.13
41.2990	41.2639	30.1228	30.1341	-0.0176	0.0113	0.0209	0.61	56	30.05
97.2795	97.2711	36.3816	36.3878	-0.0050	0.0062	0.0080	0.23	57	36.69
281.3130	281.2254	51.3578	51.4286	-0.0684	0.0708	0.0985	2.87	58	51.11
337.5178	337.5044	35.8990	35.8350	-0.0079	-0.0640	0.0645	1.88	59	35.42
347.8721	347.8790	44.1415	44.1495	0.0048	0.0080	0.0093	0.27	60	43.76
143.0045	142.9978	43.4866	43.4220	-0.0046	-0.0646	0.0648	1.89	61	43.86
327.2147	327.2230	53.7500	53.7526	0.0067	0.0026	0.0072	0.21	62	53.32
353.7393	353.6980	20.1843	20.1407	-0.0143	-0.0436	0.0459	1.34	63	19.77
0.0167	0.0078	43.1835	43.1928	-0.0061	0.0093	0.0111	0.32	64	42.85
15.3105	15.2726	24.5598	24.5247	-0.0157	-0.0351	0.0385	1.12	65	24.26
159.2279	159.2353	47.6990	47.5787	0.0055	-0.1203	0.1204	3.51	66	47.99
82.0568	81.9787	21.0293	21.0649	-0.0280	0.0356	0.0453	1.32	67	21.28
37.2325	37.2248	41.4997	41.5365	-0.0051	0.0368	0.0371	1.08	68	41.42
283.7385	283.6667	56.6423	56.7029	-0.0599	0.0606	0.0853	2.49	69	56.37
193.3015	193.3700	58.8268	58.7251	0.0586	-0.1017	0.1174	3.42	70	59.00
346.7021	346.7302	12.7381	12.7114	0.0062	-0.0267	0.0274	0.80	71	12.32
353.7281	353.6766	23.8818	23.8421	-0.0208	-0.0397	0.0449	1.31	72	23.47
