acat	acom	zcat	zcom	dasinz	dz	dtotal	dtotdsig	star	sf
208.2031	208.1428	49.5708	49.4992	-0.0458	-0.0715	0.0850	2.77	2	47.35
210.6102	210.5147	49.2271	49.1929	-0.0724	-0.0342	0.0800	2.61	3	47.06
147.8242	147.7374	45.4228	45.4319	-0.0618	0.0091	0.0625	2.04	4	44.20
219.5667	219.5008	48.4820	48.4368	-0.0493	-0.0452	0.0669	2.18	6	46.38
222.8600	222.7874	48.2169	48.1601	-0.0542	-0.0568	0.0785	2.56	7	46.14
140.5199	140.4398	44.3397	44.3561	-0.0560	0.0164	0.0584	1.90	8	43.37
157.5644	157.5193	36.1138	36.0924	-0.0266	-0.0214	0.0341	1.11	9	34.59
222.5549	222.5412	44.2824	44.2927	-0.0096	0.0104	0.0142	0.46	10	42.27
142.4324	142.3944	39.5364	39.5711	-0.0242	0.0347	0.0423	1.38	11	38.52
151.6947	151.6598	36.2615	36.2732	-0.0206	0.0117	0.0237	0.77	12	34.94
197.5975	197.6557	34.4586	34.4476	0.0329	-0.0110	0.0347	1.13	13	32.29
228.2792	228.2343	47.6957	47.6801	-0.0332	-0.0157	0.0367	1.20	14	45.75
215.6368	215.6565	39.8648	39.8748	0.0126	0.0100	0.0161	0.53	15	37.78
182.6646	182.7156	32.2709	32.2365	0.0272	-0.0344	0.0439	1.43	16	30.21
224.9965	224.9817	44.6357	44.6306	-0.0104	-0.0051	0.0116	0.38	17	42.64
208.8634	208.8644	36.5290	36.5257	0.0006	-0.0033	0.0034	0.11	18	34.38
215.4113	215.4165	38.8089	38.8214	0.0033	0.0125	0.0129	0.42	19	36.72
147.7056	147.6670	36.1853	36.1944	-0.0228	0.0090	0.0245	0.80	20	34.98
221.2807	221.2543	41.2047	41.2190	-0.0174	0.0142	0.0225	0.73	21	39.18
210.8717	210.8925	35.9750	35.9798	0.0122	0.0048	0.0131	0.43	22	33.84
133.3038	133.2511	41.1717	41.1952	-0.0347	0.0235	0.0419	1.37	24	40.46
154.7742	154.7208	32.4347	32.4287	-0.0287	-0.0060	0.0293	0.95	25	31.01
224.6032	224.6106	41.4763	41.4986	0.0049	0.0223	0.0228	0.74	26	39.51
